year_published,latest,possibly_extinct,possibly_extinct_in_the_wild,sis_taxon_id,url,taxon_scientific_name,red_list_category_code,assessment_id,kingdom,phylum,class,order,family,genus,species,scope_description,endemicEU,RealAssessmentYN,Comments
2024,TRUE,FALSE,FALSE,157263,https://www.iucnredlist.org/species/157263/204911476,Pseudopus apodus,LC,204911476,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Pseudopus,apodus,Europe,N,Y,
2009,FALSE,FALSE,FALSE,157263,https://www.iucnredlist.org/species/157263/5064890,Pseudopus apodus,LC,5064890,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Pseudopus,apodus,Europe,N,Y,
2024,TRUE,FALSE,FALSE,58548,https://www.iucnredlist.org/species/58548/200717774,Rana arvalis,LC,200717774,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,arvalis,Europe,N,Y,
2009,FALSE,FALSE,FALSE,58548,https://www.iucnredlist.org/species/58548/11800928,Rana arvalis,LC,11800928,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,arvalis,Europe,N,Y,
2024,TRUE,FALSE,FALSE,58584,https://www.iucnredlist.org/species/58584/200718410,Rana dalmatina,LC,200718410,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,dalmatina,Europe,N,Y,
2009,FALSE,FALSE,FALSE,58584,https://www.iucnredlist.org/species/58584/11790916,Rana dalmatina,LC,11790916,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,dalmatina,Europe,N,Y,
2024,TRUE,FALSE,FALSE,58605,https://www.iucnredlist.org/species/58605/229005415,Rana graeca,LC,229005415,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,graeca,Europe; Global,Y,Y,
2020,FALSE,FALSE,FALSE,58605,https://www.iucnredlist.org/species/58605/89705363,Rana graeca,LC,89705363,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,graeca,Europe; Global,Y,Y,
2022,FALSE,FALSE,FALSE,58605,https://www.iucnredlist.org/species/58605/215526263,Rana graeca,LC,215526263,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,graeca,Europe; Global,Y,N,"An errata assessment was created in order to add the EU27 Member States assessment, which had been omitted from the documentation in error."
2009,FALSE,FALSE,FALSE,58605,https://www.iucnredlist.org/species/58605/11807564,Rana graeca,LC,11807564,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,graeca,Europe; Global,Y,Y,
2004,FALSE,FALSE,FALSE,58605,https://www.iucnredlist.org/species/58605/11807744,Rana graeca,LC,11807744,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,graeca,Europe; Global,Y,Y,
2024,TRUE,FALSE,FALSE,58622,https://www.iucnredlist.org/species/58622/227229860,Rana iberica,VU,227229860,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,iberica,Europe; Global,Y,Y,
2020,FALSE,FALSE,FALSE,58622,https://www.iucnredlist.org/species/58622/89708632,Rana iberica,VU,89708632,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,iberica,Europe; Global,Y,Y,
2022,FALSE,FALSE,FALSE,58622,https://www.iucnredlist.org/species/58622/216674147,Rana iberica,VU,216674147,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,iberica,Europe; Global,Y,N,"An errata assessment was created in order to add two missing references related to the threats section, and to cite in the text many of the attached references."
2009,FALSE,FALSE,FALSE,58622,https://www.iucnredlist.org/species/58622/86641528,Rana iberica,NT,86641528,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,iberica,Europe; Global,Y,N,"Reformatted names of Assessor(s), Reviewer(s), Contributor(s), Facilitator(s) and/or Compiler(s)."
