"year_published","latest","possibly_extinct","possibly_extinct_in_the_wild","sis_taxon_id","url","taxon_scientific_name","red_list_category_code","assessment_id","kingdom","phylum","class","order","family","genus","species","scope_description","endemic"
"2006",FALSE,FALSE,FALSE,61487,"https://www.iucnredlist.org/species/61487/12479182","Chalcides sexlineatus","LC",12479182,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","sexlineatus","Europe","yes"
"2024",TRUE,FALSE,FALSE,61488,"https://www.iucnredlist.org/species/61488/137849061","Chalcides simonyi","DD",137849061,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","simonyi","Europe","yes"
"2024",TRUE,FALSE,FALSE,61488,"https://www.iucnredlist.org/species/61488/137849061","Chalcides simonyi","DD",137849061,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","simonyi","Europe","yes"
"2009",FALSE,FALSE,FALSE,61488,"https://www.iucnredlist.org/species/61488/12479483","Chalcides simonyi","EN",12479483,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","simonyi","Europe","yes"
"2009",FALSE,FALSE,FALSE,61488,"https://www.iucnredlist.org/species/61488/12479483","Chalcides simonyi","EN",12479483,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","simonyi","Europe","yes"
"2006",FALSE,FALSE,FALSE,61488,"https://www.iucnredlist.org/species/61488/12479636","Chalcides simonyi","EN",12479636,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","simonyi","Europe","yes"
"2006",FALSE,FALSE,FALSE,61488,"https://www.iucnredlist.org/species/61488/12479636","Chalcides simonyi","EN",12479636,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","simonyi","Europe","yes"
"2024",TRUE,FALSE,FALSE,61489,"https://www.iucnredlist.org/species/61489/137849177","Chalcides striatus","LC",137849177,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","striatus","Europe","yes"
"2024",TRUE,FALSE,FALSE,61489,"https://www.iucnredlist.org/species/61489/137849177","Chalcides striatus","LC",137849177,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","striatus","Europe","yes"
"2009",FALSE,FALSE,FALSE,61489,"https://www.iucnredlist.org/species/61489/86452339","Chalcides striatus","LC",86452339,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","striatus","Europe","yes"
"2009",FALSE,FALSE,FALSE,61489,"https://www.iucnredlist.org/species/61489/12479864","Chalcides striatus","LC",12479864,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","striatus","Europe","yes"
"2009",FALSE,FALSE,FALSE,61489,"https://www.iucnredlist.org/species/61489/12479864","Chalcides striatus","LC",12479864,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","striatus","Europe","yes"
"2009",FALSE,FALSE,FALSE,61489,"https://www.iucnredlist.org/species/61489/86452339","Chalcides striatus","LC",86452339,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","striatus","Europe","yes"
"2006",FALSE,FALSE,FALSE,61489,"https://www.iucnredlist.org/species/61489/12480051","Chalcides striatus","LC",12480051,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","striatus","Europe","yes"
"2006",FALSE,FALSE,FALSE,61489,"https://www.iucnredlist.org/species/61489/12480051","Chalcides striatus","LC",12480051,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","striatus","Europe","yes"
"2024",TRUE,FALSE,FALSE,200056717,"https://www.iucnredlist.org/species/200056717/200056751","Chalcides viridanus","LC",200056751,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","viridanus","Europe","yes"
"2024",TRUE,FALSE,FALSE,200056717,"https://www.iucnredlist.org/species/200056717/200056751","Chalcides viridanus","LC",200056751,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","viridanus","Europe","yes"
"2024",TRUE,FALSE,FALSE,200056417,"https://www.iucnredlist.org/species/200056417/201258375","Chalcides coeruleopunctatus","LC",201258375,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","coeruleopunctatus","Europe","yes"
"2024",TRUE,FALSE,FALSE,200056417,"https://www.iucnredlist.org/species/200056417/201258375","Chalcides coeruleopunctatus","LC",201258375,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","coeruleopunctatus","Europe","yes"
