,year_published,latest,possibly_extinct,possibly_extinct_in_the_wild,sis_taxon_id,url,taxon_scientific_name,red_list_category_code,assessment_id,genus,species,scope_description
126,2009,FALSE,FALSE,FALSE,157262,https://www.iucnredlist.org/species/157262/5064665,Malpolon monspessulanus,LC,5064665,Malpolon,monspessulanus,Europe
127,2009,TRUE,FALSE,FALSE,157262,https://www.iucnredlist.org/species/157262/5064442,Malpolon monspessulanus,LC,5064442,Malpolon,monspessulanus,Global
128,2024,TRUE,FALSE,FALSE,61538,https://www.iucnredlist.org/species/61538/207658281,Natrix maura,LC,207658281,Natrix,maura,Europe
129,2009,FALSE,FALSE,FALSE,61538,https://www.iucnredlist.org/species/61538/12510620,Natrix maura,LC,12510620,Natrix,maura,Europe
130,2009,TRUE,FALSE,FALSE,61538,https://www.iucnredlist.org/species/61538/12510365,Natrix maura,LC,12510365,Natrix,maura,Global
131,2006,FALSE,FALSE,FALSE,61538,https://www.iucnredlist.org/species/61538/12510195,Natrix maura,LC,12510195,Natrix,maura,Global
132,2024,TRUE,FALSE,FALSE,165594334,https://www.iucnredlist.org/species/165594334/207658588,Natrix natrix,LC,207658588,Natrix,natrix,Europe
133,2021,TRUE,FALSE,FALSE,165594334,https://www.iucnredlist.org/species/165594334/545209,Natrix natrix,LC,545209,Natrix,natrix,Global
134,2024,TRUE,FALSE,FALSE,157256,https://www.iucnredlist.org/species/157256/207993095,Natrix tessellata,LC,207993095,Natrix,tessellata,Europe
135,2021,TRUE,FALSE,FALSE,157256,https://www.iucnredlist.org/species/157256/745071,Natrix tessellata,LC,745071,Natrix,tessellata,Global
136,2010,FALSE,FALSE,FALSE,157256,https://www.iucnredlist.org/species/157256/5062170,Natrix tessellata,LC,5062170,Natrix,tessellata,Global
137,2009,FALSE,FALSE,FALSE,157256,https://www.iucnredlist.org/species/157256/5061767,Natrix tessellata,LC,5061767,Natrix,tessellata,Europe
138,2024,TRUE,FALSE,FALSE,61543,https://www.iucnredlist.org/species/61543/207646198,Platyceps collaris,LC,207646198,Platyceps,collaris,Europe
